level,llm,source,target,accuracy,f1_macro,trainable_params,use_reprogramming,two_stage,use_recon_aux
L2a-Reprogram,Llama-1B,hhar,hhar,0.9237502879520848,0.901235910632812,17117201,True,False,False
L2a-Reprogram,Qwen-1.5B,uci,uci,0.9349206349206348,0.9038936060114804,9704465,True,False,False
L2a-Reprogram,Qwen-1.5B,uci,shoaib,0.7751643030093394,0.7289757198495583,9704465,True,False,False
L2a-Reprogram,Qwen-1.5B,uci,motionsense,0.8554411217272615,0.7296320136497466,9704465,True,False,False
L2a-Reprogram,Qwen-1.5B,uci,hhar,0.7896434165668479,0.7431607712160077,9704465,True,False,False
L2a-Reprogram,Qwen-1.5B,shoaib,uci,0.7882054533925175,0.7012836663921171,9704465,True,False,False
L2a-Reprogram,Qwen-1.5B,shoaib,shoaib,0.9688581314878892,0.9638509859444764,9704465,True,False,False
L2a-Reprogram,Qwen-1.5B,shoaib,motionsense,0.9019729494974562,0.8381413303703552,9704465,True,False,False
L2a-Reprogram,Qwen-1.5B,shoaib,hhar,0.6368745968856537,0.5280840933849564,9704465,True,False,False
L2a-Reprogram,Qwen-1.5B,motionsense,uci,0.8544705136334813,0.7971855958380147,9704465,True,False,False
L2a-Reprogram,Qwen-1.5B,motionsense,shoaib,0.9079903147699758,0.886755288283921,9704465,True,False,False
L2a-Reprogram,Qwen-1.5B,motionsense,motionsense,0.9484792054624456,0.8972006225927743,9704465,True,False,False
L2a-Reprogram,Qwen-1.5B,motionsense,hhar,0.7613563070118862,0.6900601489221709,9704465,True,False,False
L2a-Reprogram,Qwen-1.5B,hhar,uci,0.9032974001268232,0.8660553114277633,9704465,True,False,False
L2a-Reprogram,Qwen-1.5B,hhar,shoaib,0.7073676928398478,0.6344042731764054,9704465,True,False,False
L2a-Reprogram,Qwen-1.5B,hhar,motionsense,0.7884352897381809,0.6835909553812547,9704465,True,False,False
L2a-Reprogram,Qwen-1.5B,hhar,hhar,0.934116563003916,0.9150067214403408,9704465,True,False,False
L2b-TwoStage,GPT-2,uci,uci,0.9031746031746032,0.8636024364959103,671248,False,True,True
L2b-TwoStage,GPT-2,uci,shoaib,0.7378069872016604,0.6612674368848963,671248,False,True,True
L2b-TwoStage,GPT-2,uci,motionsense,0.8138726889192207,0.6801220573360961,671248,False,True,True
L2b-TwoStage,GPT-2,uci,hhar,0.7651801345250161,0.7016986145105458,671248,False,True,True
L2b-TwoStage,GPT-2,shoaib,uci,0.7761572606214331,0.6964002543923533,671248,False,True,True
L2b-TwoStage,GPT-2,shoaib,shoaib,0.8442906574394463,0.814583418420017,671248,False,True,True
L2b-TwoStage,GPT-2,shoaib,motionsense,0.825412582206229,0.7367499745124975,671248,False,True,True
L2b-TwoStage,GPT-2,shoaib,hhar,0.6184465124850271,0.5118319934330714,671248,False,True,True
L2b-TwoStage,GPT-2,motionsense,uci,0.7885225110970197,0.6940349238308403,671248,False,True,True
L2b-TwoStage,GPT-2,motionsense,shoaib,0.886890349360083,0.8673663544752969,671248,False,True,True
L2b-TwoStage,GPT-2,motionsense,motionsense,0.9205462445685908,0.8488639007605603,671248,False,True,True
L2b-TwoStage,GPT-2,motionsense,hhar,0.7028932092508984,0.6062575007461842,671248,False,True,True
L2b-TwoStage,GPT-2,hhar,uci,0.8652504755865568,0.7941502388834464,671248,False,True,True
L2b-TwoStage,GPT-2,hhar,shoaib,0.6032514700795573,0.4975123270370017,671248,False,True,True
L2b-TwoStage,GPT-2,hhar,motionsense,0.8080406998386896,0.6753324474164286,671248,False,True,True
L2b-TwoStage,GPT-2,hhar,hhar,0.8997926744989634,0.8683039208030248,671248,False,True,True
L2b-TwoStage,Qwen-0.5B,uci,uci,0.9523809523809524,0.9324396168875592,896912,False,True,True
L2b-TwoStage,Qwen-0.5B,uci,shoaib,0.797301971636112,0.7476829219726864,896912,False,True,True
L2b-TwoStage,Qwen-0.5B,uci,motionsense,0.8405509368407991,0.6687150070668437,896912,False,True,True
L2b-TwoStage,Qwen-0.5B,uci,hhar,0.7869252741177555,0.7253881815130745,896912,False,True,True
L2b-TwoStage,Qwen-0.5B,shoaib,uci,0.7691819911223843,0.6651589019183787,896912,False,True,True
L2b-TwoStage,Qwen-0.5B,shoaib,shoaib,0.9307958477508652,0.917667430958532,896912,False,True,True
L2b-TwoStage,Qwen-0.5B,shoaib,motionsense,0.8838565578855937,0.8148686016928179,896912,False,True,True
L2b-TwoStage,Qwen-0.5B,shoaib,hhar,0.61793974016401,0.5085470492154014,896912,False,True,True
L2b-TwoStage,Qwen-0.5B,motionsense,uci,0.8617628408370324,0.8027590079889715,896912,False,True,True
L2b-TwoStage,Qwen-0.5B,motionsense,shoaib,0.9266689726738152,0.910587414977304,896912,False,True,True
L2b-TwoStage,Qwen-0.5B,motionsense,motionsense,0.9534450651769087,0.9117763000677306,896912,False,True,True
L2b-TwoStage,Qwen-0.5B,motionsense,hhar,0.7921772781719341,0.7324378103663443,896912,False,True,True
L2b-TwoStage,Qwen-0.5B,hhar,uci,0.8890298034242232,0.8386218115560866,896912,False,True,True
L2b-TwoStage,Qwen-0.5B,hhar,shoaib,0.7340020754064338,0.6701105601462499,896912,False,True,True
L2b-TwoStage,Qwen-0.5B,hhar,motionsense,0.8138726889192207,0.7059007943025384,896912,False,True,True
L2b-TwoStage,Qwen-0.5B,hhar,hhar,0.9177608845888044,0.8917158161922074,896912,False,True,True
